drug_name,chembl_id,mechanism_of_actions,smiles
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CICLESONIDE,CHEMBL2040682,Glucocorticoid receptor agonist,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
NITROGLYCERIN,CHEMBL730,Soluble guanylate cyclase activator,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
FLUTICASONE PROPIONATE,CHEMBL1473,Glucocorticoid receptor agonist,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
NITRIC OXIDE,CHEMBL1200689,Soluble guanylate cyclase activator,[N]=O
FLURANDRENOLIDE,CHEMBL1201012,Glucocorticoid receptor agonist,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DEFLAZACORT,CHEMBL1201891,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C
MAPRACORAT,CHEMBL2103876,Glucocorticoid receptor agonist,Cc1ccc2c(NC[C@](O)(CC(C)(C)c3cc(F)cc4c3OCC4)C(F)(F)F)cccc2n1
CORTIVAZOL,CHEMBL2105842,Glucocorticoid receptor agonist,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
HYDROCORTISONE ACEPONATE,CHEMBL2106309,Glucocorticoid receptor agonist,CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
RESOCORTOL BUTYRATE,CHEMBL2107186,Glucocorticoid receptor agonist,CCCC(=O)O[C@]1(C(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
VAMOROLONE,CHEMBL2348780,Glucocorticoid receptor agonist,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@@]1(O)C(=O)CO
ISOSORBIDE DINITRATE,CHEMBL6622,Soluble guanylate cyclase activator,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
SODIUM NITROPRUSSIDE,CHEMBL136478,Soluble guanylate cyclase activator,
ISOSORBIDE MONONITRATE,CHEMBL1311,Soluble guanylate cyclase activator,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
PENTAERYTHRITOL TETRANITRATE,CHEMBL466659,Soluble guanylate cyclase activator,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
CINACIGUAT,CHEMBL1236936,Soluble guanylate cyclase activator,O=C(O)CCCCN(CCc1ccccc1OCc1ccc(CCc2ccccc2)cc1)Cc1ccc(C(=O)O)cc1
CLORAZEPATE DIPOTASSIUM,CHEMBL2096631,GABA-A receptor; anion channel positive allosteric modulator,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
ATACIGUAT,CHEMBL2107729,Soluble guanylate cyclase activator,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1
VERICIGUAT,CHEMBL4066936,Soluble guanylate cyclase activator,COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N
PRALICIGUAT,CHEMBL4297214,Soluble guanylate cyclase activator,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F
RUNCACIGUAT,CHEMBL4650322,Soluble guanylate cyclase activator,C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F
DIAZEPAM,CHEMBL12,GABA-A receptor; anion channel positive allosteric modulator,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
CHLORDIAZEPOXIDE,CHEMBL451,GABA-A receptor; anion channel positive allosteric modulator,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
CLONAZEPAM,CHEMBL452,GABA-A receptor; anion channel positive allosteric modulator,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
BUTALBITAL,CHEMBL454,GABA-A receptor; anion channel positive allosteric modulator,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
OXAZEPAM,CHEMBL568,GABA-A receptor; anion channel positive allosteric modulator,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
TRIAZOLAM,CHEMBL646,GABA-A receptor; anion channel positive allosteric modulator,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
ALPRAZOLAM,CHEMBL661,GABA-A receptor; anion channel positive allosteric modulator,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
CLOBAZAM,CHEMBL70418,GABA-A receptor; anion channel positive allosteric modulator,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
ESZOPICLONE,CHEMBL1522,GABA-A receptor; anion channel positive allosteric modulator,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
CHLORDIAZEPOXIDE HYDROCHLORIDE,CHEMBL1200703,GABA-A receptor; anion channel positive allosteric modulator,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1.Cl
METHARBITAL,CHEMBL450,GABA-A receptor; anion channel positive allosteric modulator,CCC1(CC)C(=O)NC(=O)N(C)C1=O
LORAZEPAM,CHEMBL580,GABA-A receptor; anion channel positive allosteric modulator,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
METHOHEXITAL SODIUM,CHEMBL30219,GABA-A receptor; anion channel positive allosteric modulator,C=CCC1(C(C)C#CCC)C(=O)N=C([O-])N(C)C1=O.[Na+]
ESTAZOLAM,CHEMBL285674,GABA-A receptor; anion channel positive allosteric modulator,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
PRAZEPAM,CHEMBL969,GABA-A receptor; anion channel positive allosteric modulator,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
MIDAZOLAM HYDROCHLORIDE,CHEMBL1200420,GABA-A receptor; anion channel positive allosteric modulator,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2.Cl
DESFLURANE,CHEMBL1200733,GABA-A receptor; anion channel positive allosteric modulator | Glycine receptor (alpha-1/beta) positive modulator | Potassium channel subfamily K member 10 opener | Potassium channel subfamily K member 18 opener | Potassium channel subfamily K member 2 opener | Potassium channel subfamily K member 3 opener | Potassium channel subfamily K member 9 opener,FC(F)OC(F)C(F)(F)F
METHYPRYLON,CHEMBL1200790,GABA-A receptor; anion channel positive allosteric modulator,CCC1(CC)C(=O)NCC(C)C1=O
TALBUTAL,CHEMBL1200802,GABA-A receptor; anion channel positive allosteric modulator,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
BUTABARBITAL SODIUM,CHEMBL1200982,GABA-A receptor; anion channel positive allosteric modulator,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
PENTOBARBITAL,CHEMBL448,GABA-A receptor; anion channel positive allosteric modulator,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
PROPOFOL,CHEMBL526,GABA-A receptor; anion channel positive allosteric modulator,CC(C)c1cccc(C(C)C)c1O
THIOPENTAL SODIUM,CHEMBL738,GABA-A receptor; anion channel positive allosteric modulator,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+]
PRIMIDONE,CHEMBL856,GABA-A receptor; anion channel positive allosteric modulator,CCC1(c2ccccc2)C(=O)NCNC1=O
TEMAZEPAM,CHEMBL967,GABA-A receptor; anion channel positive allosteric modulator,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
PENTOBARBITAL SODIUM,CHEMBL971,GABA-A receptor; anion channel positive allosteric modulator,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+]
QUAZEPAM,CHEMBL1200472,GABA-A receptor; anion channel positive allosteric modulator,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
SEVOFLURANE,CHEMBL1200694,GABA-A receptor; anion channel positive allosteric modulator | Glycine receptor (alpha-1/beta) positive modulator | Potassium channel subfamily K member 10 opener | Potassium channel subfamily K member 18 opener | Potassium channel subfamily K member 2 opener | Potassium channel subfamily K member 3 opener | Potassium channel subfamily K member 9 opener,FCOC(C(F)(F)F)C(F)(F)F
SECOBARBITAL SODIUM,CHEMBL1200903,GABA-A receptor; anion channel positive allosteric modulator,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
THIAMYLAL SODIUM,CHEMBL1201065,GABA-A receptor; anion channel positive allosteric modulator,C=CCC1(C(C)CCC)C(=O)[N-]C(=S)NC1=O.[Na+]
FLUNITRAZEPAM,CHEMBL13280,GABA-A receptor; anion channel positive allosteric modulator,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
METHAQUALONE,CHEMBL282052,GABA-A receptor; anion channel positive allosteric modulator,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
HALOTHANE,CHEMBL931,GABA-A receptor; anion channel positive allosteric modulator | Glycine receptor (alpha-1/beta) positive modulator | Potassium channel subfamily K member 10 opener | Potassium channel subfamily K member 18 opener | Potassium channel subfamily K member 2 opener | Potassium channel subfamily K member 3 opener | Potassium channel subfamily K member 9 opener,FC(F)(F)C(Cl)Br
HALAZEPAM,CHEMBL970,GABA-A receptor; anion channel positive allosteric modulator,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
ISOFLURANE,CHEMBL1256,GABA-A receptor; anion channel positive allosteric modulator | Glycine receptor (alpha-1/beta) positive modulator | Potassium channel subfamily K member 10 opener | Potassium channel subfamily K member 18 opener | Potassium channel subfamily K member 2 opener | Potassium channel subfamily K member 3 opener | Potassium channel subfamily K member 9 opener,FC(F)OC(Cl)C(F)(F)F
GANAXOLONE,CHEMBL1568698,GABA-A receptor; anion channel positive allosteric modulator,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
PAGOCLONE,CHEMBL2104745,GABA-A receptor; anion channel positive allosteric modulator,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1
METHAQUALONE HYDROCHLORIDE,CHEMBL2106829,GABA-A receptor; anion channel positive allosteric modulator,Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl
FLURAZEPAM HYDROCHLORIDE,CHEMBL3989724,GABA-A receptor; anion channel positive allosteric modulator,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21.Cl.Cl
LOREDIPLON,CHEMBL4303403,GABA-A receptor; anion channel positive allosteric modulator,CC(=O)N(C)c1cc(-c2ccnc3c(C(=O)c4cccs4)cnn23)ccc1F
CHLORAMPHENICOL,CHEMBL130,Bacterial 70S ribosome inhibitor,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
MIDAZOLAM,CHEMBL655,GABA-A receptor; anion channel positive allosteric modulator,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
CLOMETHIAZOLE,CHEMBL315795,GABA-A receptor; anion channel positive allosteric modulator,Cc1ncsc1CCCl
ENFLURANE,CHEMBL1257,Glycine receptor (alpha-1/beta) positive modulator | Potassium channel subfamily K member 10 opener | Potassium channel subfamily K member 18 opener | Potassium channel subfamily K member 2 opener | Potassium channel subfamily K member 3 opener | Potassium channel subfamily K member 9 opener,FC(F)OC(F)(F)C(F)Cl
BREXANOLONE,CHEMBL207538,GABA-A receptor; anion channel positive allosteric modulator,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
CLOTIAZEPAM,CHEMBL1697737,GABA-A receptor; anion channel positive allosteric modulator,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
TETRAZEPAM,CHEMBL2105527,GABA-A receptor; anion channel positive allosteric modulator,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21
CENOBAMATE,CHEMBL3989949,GABA-A receptor; anion channel positive allosteric modulator,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
ZURANOLONE,CHEMBL4105630,GABA-A receptor; anion channel positive allosteric modulator,C[C@@]1(O)CC[C@H]2[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C(=O)Cn4cc(C#N)cn4)CC[C@@H]32)C1
REMIMAZOLAM BESYLATE,CHEMBL4594301,GABA-A receptor; anion channel positive allosteric modulator,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21.O=S(=O)(O)c1ccccc1
OXYTETRACYCLINE,CHEMBL1517,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12
ERYTHROMYCIN STEARATE,CHEMBL1200510,Bacterial 70S ribosome inhibitor,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
CHLORAMPHENICOL SODIUM SUCCINATE,CHEMBL1200729,Bacterial 70S ribosome inhibitor,O=C([O-])CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1.[Na+]
DALFOPRISTIN,CHEMBL1200937,Bacterial 70S ribosome inhibitor,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12
DIRITHROMYCIN,CHEMBL1237072,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O
METHACYCLINE HYDROCHLORIDE,CHEMBL2146123,Bacterial 70S ribosome inhibitor,C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl
CLINDAMYCIN PHOSPHATE,CHEMBL3184512,Bacterial 70S ribosome inhibitor,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1
ERYTHROMYCIN GLUCEPTATE,CHEMBL3545060,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
OXYTETRACYCLINE CALCIUM,CHEMBL3989568,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.[Ca+2]
AMIKACIN SULFATE,CHEMBL4208954,Bacterial 70S ribosome inhibitor,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O
TELITHROMYCIN,CHEMBL1136,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C
TIGECYCLINE,CHEMBL376140,Bacterial 70S ribosome inhibitor,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O
TETRACYCLINE,CHEMBL1440,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
KANAMYCIN SULFATE,CHEMBL1446,Bacterial 70S ribosome inhibitor,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](O)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
TETRACYCLINE HYDROCHLORIDE,CHEMBL454950,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
DEMECLOCYCLINE HYDROCHLORIDE,CHEMBL1200474,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl
ERYTHROMYCIN LACTOBIONATE,CHEMBL1200506,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
CLINDAMYCIN HYDROCHLORIDE,CHEMBL1200588,Bacterial 70S ribosome inhibitor,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1.Cl
CLINDAMYCIN PALMITATE HYDROCHLORIDE,CHEMBL1200632,Bacterial 70S ribosome inhibitor,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl)O[C@@H]1SC.Cl
STREPTOMYCIN SULFATE,CHEMBL3184791,Bacterial 70S ribosome inhibitor,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
MECLOCYCLINE SULFOSALICYLATE,CHEMBL261772,Bacterial 70S ribosome inhibitor,C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.O=C(O)c1cc(S(=O)(=O)O)ccc1O
QUINUPRISTIN,CHEMBL1200649,Bacterial 70S ribosome inhibitor,CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O
MINOCYCLINE HYDROCHLORIDE,CHEMBL1200881,Bacterial 70S ribosome inhibitor,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl
TETRACYCLINE PHOSPHATE COMPLEX,CHEMBL1201071,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.O=P(O)(O)O
OXYTETRACYCLINE HYDROCHLORIDE,CHEMBL1607480,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.Cl
CHLORTETRACYCLINE HYDROCHLORIDE,CHEMBL2146063,Bacterial 70S ribosome inhibitor,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
PAROMOMYCIN SULFATE,CHEMBL2206196,Bacterial 70S ribosome inhibitor,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
ERYTHROMYCIN ESTOLATE,CHEMBL2218877,Bacterial 70S ribosome inhibitor,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C.CCCCCCCCCCCCOS(=O)(=O)O
NETILMICIN SULFATE,CHEMBL3989829,Bacterial 70S ribosome inhibitor,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
GENTAMICIN SULFATE,CHEMBL6067484,Bacterial 70S ribosome inhibitor,
AZITHROMYCIN,CHEMBL529,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
ERYTHROMYCIN,CHEMBL532,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
LINEZOLID,CHEMBL126,Bacterial 70S ribosome inhibitor,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1
CLARITHROMYCIN,CHEMBL1741,Bacterial 70S ribosome inhibitor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
ERYTHROMYCIN ETHYLSUCCINATE,CHEMBL1200688,Bacterial 70S ribosome inhibitor,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
DOXYCYCLINE,CHEMBL1200699,Bacterial 70S ribosome inhibitor | Matrix metalloproteinase 13 inhibitor | Matrix metalloproteinase 7 inhibitor | Matrix metalloproteinase 8 inhibitor | Matrix metalloproteinase-1 inhibitor,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
TEDIZOLID PHOSPHATE,CHEMBL2105669,Bacterial 70S ribosome inhibitor,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1
DIHYDROSTREPTOMYCIN SULFATE,CHEMBL3188576,Bacterial 70S ribosome inhibitor,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
