rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
2858,tanshinone-IIA,CHEMBL187266,True,DNA repair nuclease/redox regulator APEX1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.1 (True=0.88 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,9.06,9.0,,294.35,4.25,0.0,False,False,False,0.0,2.0,0.0
2859,taprenepag,CHEMBL2107783,True,Prostaglandin E2 receptor EP2 subtype,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.6 (True=2.8 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.55,9.0,2.0,478.53,3.12,0.0,False,False,False,0.0,2.0,0.0
2860,tarafenacin,CHEMBL1779046,True,Muscarinic acetylcholine receptor M1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.1 (True=0.9 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.05,9.0,2.0,408.39,4.48,0.0,False,False,False,0.0,2.0,0.0
2861,taurolidine,CHEMBL2105420,True,Histamine H1 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.3 (True=4600.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.34,8.0,4.0,284.36,-2.67,0.0,False,False,False,0.0,0.5,1.5
2862,taxifolin,CHEMBL66,True,Receptor-type tyrosine-protein kinase FLT3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.5 (True=32.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,7.5,9.0,,304.25,1.19,0.0,False,False,False,0.0,2.0,0.0
2863,tecalcet,CHEMBL292376,True,Extracellular calcium-sensing receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.1 (True=80.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.1,9.0,2.0,303.83,4.63,0.0,False,False,False,0.0,2.0,0.0
2864,tegobuvir,CHEMBL1957287,True,RNA-directed RNA polymerase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.5 (True=2.908 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,8.54,8.0,2.0,517.41,6.73,2.0,False,False,False,0.0,2.0,0.0
2865,teijin-compound-1,CHEMBL255408,True,C-C chemokine receptor type 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.7 (True=20.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,7.7,9.0,,439.87,3.48,0.0,False,False,False,0.0,2.0,0.0
2866,telatinib,CHEMBL2079588,True,Mast/stem cell growth factor receptor Kit,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.0,9.0,2.0,409.83,3.95,0.0,False,False,False,0.0,2.0,0.0
2867,tenofovir-disoproxil,CHEMBL1538,True,Gag-Pol polyprotein,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=1036.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.99,8.0,4.0,519.45,3.04,2.0,False,False,False,0.0,0.5,1.5
2868,tepoxalin,CHEMBL316040,True,Polyunsaturated fatty acid 5-lipoxygenase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=70.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,7.16,8.0,2.0,385.85,3.98,0.0,False,False,False,0.0,2.0,0.0
2869,terguride,CHEMBL73151,True,Alpha-2C adrenergic receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.5 (True=3.1 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,8.51,8.0,2.0,340.47,2.93,0.0,False,False,False,0.0,2.0,0.0
2870,terlipressin,CHEMBL2135460,True,"3',5'-cyclic-AMP phosphodiesterase 4D",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.0 (True=9700.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.01,8.0,4.0,1227.4,,,False,False,False,0.0,0.5,1.5
2871,tetracycline,CHEMBL1440,True,Alpha-synuclein,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.2 (True=6060.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.22,9.0,4.0,444.44,-0.21,1.0,False,False,False,0.0,0.5,1.5
2872,tetrahydrouridine,CHEMBL2311128,True,Cytidine deaminase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.0 (True=100.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,7.0,8.0,2.0,248.24,-2.84,0.0,False,False,False,0.0,2.0,0.0
2873,thiamine-pyrophosphate,CHEMBL1236376,True,Thiamine transporter ThiT,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.8 (True=1.6 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,8.8,8.0,2.0,425.32,0.84,0.0,False,False,False,0.0,2.0,0.0
2874,thioperamide,CHEMBL260374,True,Histamine H3 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.1 (True=0.871 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,9.06,9.0,,292.45,2.8,0.0,False,False,False,0.0,2.0,0.0
2875,thiorphan,CHEMBL10247,True,Neprilysin,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,9.0,9.0,-1.0,253.32,0.98,0.0,False,False,False,0.0,2.0,0.0
2876,tideglusib,CHEMBL3545157,True,Glycogen synthase kinase-3 beta,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.3 (True=5.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.3,9.0,2.0,334.4,3.26,0.0,False,False,False,0.0,2.0,0.0
2877,tilorone,CHEMBL47298,True,Neuronal acetylcholine receptor subunit alpha-7,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=56.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.25,9.0,2.0,410.56,4.34,0.0,False,False,False,0.0,2.0,0.0
2878,tiotidine,CHEMBL269646,True,Histamine H2 receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.2 (True=5.623 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.25,9.0,2.0,312.43,0.33,0.0,False,False,False,0.0,2.0,0.0
2879,tobramycin,CHEMBL1747,True,Human immunodeficiency virus type 1 REV,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.4 (True=4110.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.39,8.0,4.0,467.52,-6.3,2.0,False,False,False,0.0,0.5,1.5
2880,toceranib,CHEMBL13608,True,Platelet-derived growth factor receptor beta,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.0 (True=1.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.0,9.0,2.0,396.47,3.09,0.0,False,False,False,0.0,2.0,0.0
2881,tolazamide,CHEMBL817,True,Polyunsaturated fatty acid lipoxygenase ALOX15,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.3 (True=5106.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.29,9.0,4.0,311.41,1.77,0.0,False,False,False,0.0,0.5,1.5
2882,tolfenamic-acid,CHEMBL121626,True,Aldo-keto reductase family 1 member C3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.1 (True=8.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.1,9.0,2.0,261.71,4.09,0.0,False,False,False,0.0,2.0,0.0
2883,tolimidone,CHEMBL8030,True,Tyrosine-protein kinase Lyn,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=63.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.2,9.0,2.0,202.21,1.87,0.0,False,False,False,0.0,2.0,0.0
2884,tomelukast,CHEMBL162358,True,Cysteinyl leukotriene receptor 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=60.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.22,9.0,2.0,318.38,2.46,0.0,False,False,False,0.0,2.0,0.0
2885,topiroxostat,CHEMBL1078685,True,Xanthine dehydrogenase/oxidase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.3 (True=4.8 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.32,9.0,2.0,248.25,1.8,0.0,False,False,False,0.0,2.0,0.0
2886,tosedostat,CHEMBL2103847,True,Cytosol aminopeptidase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.3 (True=5.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.3,9.0,2.0,406.48,1.86,0.0,False,False,False,0.0,2.0,0.0
2887,tozasertib,CHEMBL572878,True,Aurora kinase A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.6 (True=0.24 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,9.62,8.0,2.0,464.6,3.5,0.0,False,False,False,0.0,2.0,0.0
2888,tracazolate,CHEMBL84567,True,Cytochrome P450 1A2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=63.1 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,7.2,8.0,2.0,304.39,3.15,0.0,False,False,False,0.0,2.0,0.0
2889,"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid",CHEMBL2172374,True,"3',5'-cyclic-AMP phosphodiesterase 4D",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.5 (True=32.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,7.5,9.0,,350.39,4.79,0.0,False,False,False,0.0,2.0,0.0
2890,triamterene,CHEMBL585,True,Pteridine reductase 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.5 (True=3400.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.47,9.0,4.0,253.27,0.83,0.0,False,False,False,0.0,0.5,1.5
2891,triciribine,CHEMBL331237,True,Human immunodeficiency virus type 1 reverse transcriptase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.7 (True=20.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,7.7,9.0,,320.31,-1.89,0.0,False,False,False,0.0,2.0,0.0
2892,triclocarban,CHEMBL1076347,True,Bifunctional epoxide hydrolase 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.9 (True=13.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.89,9.0,2.0,315.59,5.29,1.0,False,False,False,0.0,2.0,0.0
2893,trifluridine,CHEMBL1129,True,Latent membrane protein 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=1130.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.95,8.0,4.0,296.2,-0.8,0.0,False,False,False,0.0,0.5,1.5
2894,trovafloxacin,CHEMBL428,True,Thromboxane-A synthase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.4 (True=4023.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.39,9.0,4.0,416.36,1.89,0.0,False,False,False,0.0,0.5,1.5
2895,trovirdine,CHEMBL39999,True,Human immunodeficiency virus type 1 reverse transcriptase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.8 (True=15.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.82,9.0,2.0,337.25,2.77,0.0,False,False,False,0.0,2.0,0.0
2896,tryptanthrin,CHEMBL306946,True,"Indoleamine 2,3-dioxygenase 1",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.3 (True=53.7 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,7.27,9.0,,248.24,1.93,0.0,False,False,False,0.0,2.0,0.0
2897,tryptophan,CHEMBL54976,True,Myeloperoxidase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.7 (True=2250.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.65,9.0,4.0,204.23,1.12,0.0,False,False,False,0.0,0.5,1.5
2898,tuaminoheptane,CHEMBL123693,True,Mu-type opioid receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.8 (True=14.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,7.85,8.0,2.0,115.22,1.91,0.0,False,False,False,0.0,2.0,0.0
2899,tubocurarine,CHEMBL339427,True,Nicotinic acetylcholine receptor alpha 5 subunit,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.7 (True=1880.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.73,9.0,4.0,609.74,6.7,2.0,False,False,False,0.0,0.5,1.5
2900,tyrphostin-A9,CHEMBL78150,True,Cytochrome P450 2C9,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.5 (True=31.62 True vs True, True); assay confidence=8/9; MOA: True",Low,2.0,7.5,8.0,,282.39,4.42,0.0,False,False,False,0.0,2.0,0.0
2901,tyrphostin-AG-1478,CHEMBL7917,True,Epidermal growth factor receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.5 (True=0.31 True vs True, True); assay confidence=8/9; MOA: True",Low,2.0,9.51,8.0,,315.76,4.04,0.0,False,False,False,0.0,2.0,0.0
2902,tyrphostin-AG-825,CHEMBL118109,True,Cytochrome P450 2D6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.6 (True=25.12 True vs True, True); assay confidence=8/9; MOA: True",Low,2.0,7.6,8.0,,397.48,3.7,0.0,False,False,False,0.0,2.0,0.0
2903,tyrphostin-AG-879,CHEMBL539947,True,Ephrin type-A receptor 3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.3 (True=5.0 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,8.3,9.0,,316.47,4.18,0.0,False,False,False,0.0,2.0,0.0
2904,ubenimex,CHEMBL29292,True,Cytosol aminopeptidase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.3 (True=0.5 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.3,9.0,2.0,308.38,0.53,0.0,False,False,False,0.0,2.0,0.0
2905,uprosertib,CHEMBL3137336,True,RAC-alpha serine/threonine-protein kinase,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=10.2 (True=0.066 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,10.18,9.0,2.0,429.25,3.56,0.0,False,False,False,0.0,2.0,0.0
2906,ursodeoxycholyltaurine,CHEMBL272427,True,Phospholipase A2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.0 (True=10000.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.0,9.0,4.0,499.71,3.4,0.0,False,False,False,0.0,0.5,1.5
2907,ursodiol,CHEMBL1551,True,CDGSH iron-sulfur domain-containing protein 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=1134.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",Low,2.0,5.95,9.0,4.0,392.58,4.48,0.0,False,False,False,0.0,0.5,1.5
2908,valganciclovir,CHEMBL1201314,True,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.2 (True=7000.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.16,8.0,4.0,354.37,-1.44,0.0,False,False,False,0.0,0.5,1.5
2909,varespladib,CHEMBL148674,True,"Phospholipase A2, membrane associated",No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.2 (True=7.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.15,9.0,2.0,380.4,2.38,0.0,False,False,False,0.0,2.0,0.0
2910,velneperit,CHEMBL2016681,True,Neuropeptide Y receptor type 5,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.3 (True=4.6 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.34,9.0,2.0,407.46,3.32,0.0,False,False,False,0.0,2.0,0.0
2911,verbascoside,CHEMBL444478,True,Beta-secretase 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.2 (True=6.3 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.2,9.0,2.0,624.59,-1.02,3.0,False,False,False,0.0,2.0,0.0
2912,verinurad,CHEMBL3707347,True,Solute carrier family 22 member 12,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.6 (True=23.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.64,9.0,2.0,348.43,4.73,0.0,False,False,False,0.0,2.0,0.0
2913,verubulin,CHEMBL492399,True,Epidermal growth factor receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.6 (True=2.8 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,8.55,9.0,2.0,279.34,3.71,0.0,False,False,False,0.0,2.0,0.0
2914,vesamicol,CHEMBL20943,True,Vesicular acetylcholine transporter,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.0 (True=9.9 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,8.0,9.0,,259.39,3.17,0.0,False,False,False,0.0,2.0,0.0
2915,vipadenant,CHEMBL447664,True,Adenosine receptor A2a,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.2 (True=0.631 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.2,9.0,2.0,321.34,2.0,0.0,False,False,False,0.0,2.0,0.0
2916,wnt-c59,CHEMBL2139947,True,Protein-serine O-palmitoleoyltransferase porcupine,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=10.1 (True=0.074 True vs True, True); assay confidence=9/9; MOA: True",Low,2.0,10.13,9.0,,379.46,5.3,1.0,False,False,False,0.0,2.0,0.0
2917,xaliproden,CHEMBL1512580,True,,Symptomatic / anti-inflammatory,Symptomatic/neuroprotective mechanism addressing secondary inflammation/neurodegeneration (non-causal),clinical stage: Phase III; MOA: True,Low,2.0,,,3.0,381.44,6.19,1.0,False,False,True,0.0,0.0,1.0
2918,xamoterol,CHEMBL75753,True,Beta-1 adrenergic receptor,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.0 (True=10.96 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.96,9.0,2.0,339.39,-0.24,0.0,False,False,False,0.0,2.0,0.0
2919,xylazine,CHEMBL297362,True,Cytochrome P450 3A4,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=8.0 (True=10.0 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,8.0,8.0,2.0,220.34,3.21,0.0,False,False,False,0.0,2.0,0.0
2920,zacopride,CHEMBL18041,True,5-hydroxytryptamine receptor 3A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.4 (True=0.39 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,9.41,9.0,2.0,309.8,1.75,0.0,False,False,False,0.0,2.0,0.0
2921,zofenopril-calcium,CHEMBL331378,True,Angiotensin-converting enzyme,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.4 (True=0.4 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,9.4,8.0,2.0,429.56,4.04,0.0,False,False,False,0.0,2.0,0.0
2922,zomepirac,CHEMBL19490,True,Prostaglandin G/H synthase 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=5.9 (True=1200.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",Low,2.0,5.92,8.0,4.0,291.73,2.85,0.0,False,False,False,0.0,0.5,1.5
2923,zoniporide,CHEMBL355862,True,Sodium/hydrogen exchanger 1,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=7.2 (True=59.0 True vs True, True); assay confidence=9/9; clinical stage: Phase II; MOA: True",Low,2.0,7.23,9.0,2.0,320.36,1.92,0.0,False,False,False,0.0,2.0,0.0
2924,zotepine,CHEMBL285802,True,5-hydroxytryptamine receptor 2A,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=9.3 (True=0.5 True vs True, True); assay confidence=8/9; clinical stage: Phase II; MOA: True",Low,2.0,9.3,8.0,2.0,331.87,4.88,0.0,False,False,False,0.0,2.0,0.0
2925,1-hexadecanol,CHEMBL706,True,,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,clinical stage: Approved; MOA: True,Low,1.5,,,4.0,242.45,5.46,1.0,False,False,False,0.0,0.0,1.5
2926,"2,3-DCPE",CHEMBL1356094,True,Cytochrome P450 2D6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.8 (True=158.49 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.8,8.0,,264.15,2.34,0.0,False,False,False,0.0,1.5,0.0
2927,2-APB,CHEMBL169233,True,Transient receptor potential cation channel subfamily M member 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=1000.0 True vs True, True); assay confidence=9/9; MOA: True",Low,1.5,6.0,9.0,,225.1,,,False,False,False,0.0,1.5,0.0
2928,2-[1-(4-piperonyl)piperazinyl]benzothiazole,CHEMBL24909,True,Cytochrome P450 3A4,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.2 (True=630.96 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.2,8.0,,353.45,3.35,0.0,False,False,False,0.0,1.5,0.0
2929,2-iodohippuric-acid,CHEMBL1681,True,,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,clinical stage: Approved; MOA: True,Low,1.5,,,4.0,305.07,1.11,0.0,False,False,False,0.0,0.0,1.5
2930,"3,4-DCPG-(+/-)",CHEMBL1331443,True,Cytochrome P450 2C19,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.5 (True=316.23 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.5,8.0,,239.18,0.17,0.0,False,False,False,0.0,1.5,0.0
2931,3-alpha-bis-(4-fluorophenyl)-methoxytropane,CHEMBL1552961,True,Cytochrome P450 2D6,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.2 (True=630.96 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.2,8.0,,343.42,4.7,0.0,False,False,False,0.0,1.5,0.0
2932,3-alpha-hydroxy-5-beta-androstan-17-one,CHEMBL85799,True,17-beta-hydroxysteroid dehydrogenase type 3,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.7 (True=182.0 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.74,8.0,,290.45,3.96,0.0,False,False,False,0.0,1.5,0.0
2933,3-bromo-7-nitroindazole,CHEMBL479014,True,Cytochrome P450 1A2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.9 (True=125.89 True vs True, True); assay confidence=8/9; MOA: True",Low,1.5,6.9,8.0,,242.03,2.23,0.0,False,False,False,0.0,1.5,0.0
2934,"4,4-pentamethylenepiperidine",CHEMBL2078948,True,Matrix protein 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.0 (True=900.0 True vs True, True); assay confidence=9/9; MOA: True",Low,1.5,6.05,9.0,,153.27,2.32,0.0,False,False,False,0.0,1.5,0.0
2935,"4,5,6,7-tetrabromobenzotriazole",CHEMBL177820,True,Casein kinase II subunit alpha,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.5 (True=300.0 True vs True, True); assay confidence=9/9; MOA: True",Low,1.5,6.52,9.0,,434.71,4.01,0.0,False,False,False,0.0,1.5,0.0
2936,4-CMTB,CHEMBL610463,True,Free fatty acid receptor 2,No MSD-relevant annotation,No MSD-relevant mechanistic annotation available; requires experimental profiling,"pChEMBL=6.1 (True=800.0 True vs True, True); assay confidence=9/9; MOA: True",Low,1.5,6.1,9.0,,294.81,4.17,0.0,False,False,False,0.0,1.5,0.0
